,postcode,ins_avg,ins_total,out_avg,out_total,suburb,state
290,2261,212.3809523809524,4460.0,1036.191619047619,21760.023999999998,BATEAU BAY,NSW
291,2262,112.71428571428572,2367.0,525.1845714285714,11028.876,BLUE HAVEN,NSW
292,2263,122.8095238095238,2579.0,555.5975238095239,11667.548,TOUKLEY,NSW
293,2264,104.76190476190477,2200.0,496.8559523809524,10433.975,BALCOLYN,NSW
294,2265,52.14285714285714,1095.0,274.93509523809524,5773.6370000000015,COORANBONG,NSW
295,2267,16.857142857142858,354.0,81.32385714285714,1707.8010000000002,WANGI WANGI,NSW
296,2278,17.857142857142858,375.0,89.05538095238096,1870.1629999999998,BARNSLEY,NSW
297,2280,135.47619047619048,2845.0,634.744,13329.624000000002,FLORAVILLE,NSW
298,2281,82.04761904761905,1723.0,415.8072857142857,8731.953000000001,MURRAYS BEACH,NSW
299,2282,83.38095238095238,1751.0,416.69699999999995,8750.636999999999,WARNERS BAY,NSW
300,2283,140.71428571428572,2955.0,658.3075238095238,13824.458,RYHOPE,NSW
301,2284,70.61904761904762,1483.0,365.64885714285714,7678.625999999998,WOODRISING,NSW
302,2285,170.28571428571428,3576.0,898.8405714285714,18875.652,GLENDALE,NSW
303,2286,24.42857142857143,513.0,122.89095238095237,2580.71,HOLMESVILLE,NSW
304,2287,192.047619047619,4033.0,921.1107619047618,19343.326,WALLSEND DC,NSW
305,2289,75.66666666666667,1589.0,364.36671428571424,7651.700999999999,HIGHFIELDS,NSW
306,2290,143.19047619047618,3007.0,724.3090000000002,15210.489,WHITEBRIDGE,NSW
307,2291,50.76190476190475,1066.0,250.44533333333337,5259.352000000001,MEREWETHER,NSW
308,2292,10.285714285714286,216.0,66.44157142857142,1395.273,HAMILTON NORTH,NSW
309,2293,9.19047619047619,193.0,53.073571428571434,1114.545,MARYVILLE,NSW
310,2294,5.3809523809523805,113.0,40.38623809523809,848.1109999999999,CARRINGTON,NSW
311,2295,36.76190476190476,772.0,170.03109523809522,3570.653,FERN BAY,NSW
312,2296,7.0,147.0,31.825238095238102,668.33,ISLINGTON,NSW
313,2297,8.571428571428571,180.0,33.586285714285715,705.3119999999999,TIGHES HILL,NSW
314,2298,31.285714285714285,657.0,138.07471428571426,2899.5689999999995,WARATAH,NSW
